Description / Descrizione,Status / Stato,Std version
Order Number sequence / Sequenza numerazione,✅,✅
Journal_id / Registro sezionale,✅,✅
Warehouse / Magazzino,✅,✅
Picking policy / Politica di prelievo,✅,✅
Company / Azienda,✅,✅
Payment term / Termini di pagamento,✅,✅
Price list / Listino,✅,✅
Incoterms,✅,✅
Route / Rotta,✅,✅
Analytic account / Conto analitico,✅,✅
S.N./Lot from SO to Picking / Lotti/n.serie in prelievo da ordine,✅,❌
Auto confirm picking upon SO confirmation / Conferma prelievo con ordine,✅,❌
See S.N./Lot quantity in SO line / Vedere quantità lotto/n.serie,✅,❌
